,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
8:30 AM,Coffee/snacks,Coffee/snacks,Coffee/snacks,Coffee/snacks,Coffee/snacks
9:00 AM,Welcome & Logistics,Unconference Pitches,Welcome & Logistics,Working Sessions,Working Sessions
9:30 AM,Introductions,|,Keynote: ,Working Sessions,Working Sessions
10:00 AM,,Glow Virtual Forum,|,Working Sessions,Working Sessions
10:30 AM,Break (30 min),|,break (30 min),break (30 min),break (30 min)
11:00 AM,Lightning Talks,|,Unconference Sessions,Working Sessions,Working Sessions
11:30 AM,,|,Unconference Sessions,Working Sessions,Working Sessions
12:00 PM,Lunch,Lunch,Lunch,Lunch,Geoblacklight Governance Lunch
12:30 PM,,|,|,|,|
1:00 PM,,|,|,|,|
1:30 PM,[Workshop - Introduction to Geospatial Raster and Vector Data with R](https://geo4libcamp.org/2023/sessions/#introduction-to-geospatial-raster-and-vector-data-with-r),Keynote: M Migurski Planscore.org,Unconference Sessions,Working Sessions,Working Sessions
2:00 PM,,|,Unconference Sessions,Working Sessions,Working Sessions
2:30 PM,,Unconference Voting,,,
3:00 PM,Break,Break,Break,Break,Break
3:30 PM,[Workshop - Introduction to Geospatial Raster and Vector Data with R](https://geo4libcamp.org/2023/sessions/#introduction-to-geospatial-raster-and-vector-data-with-r),Unconference Sessions,Unconference Sessions,Working Sessions,Working Sessions
4:00 PM,,Unconference Sessions,Unconference Sessions,Working Sessions,Working Sessions
4:30 PM,,Unconference Sessions,Unconference Sessions,Working Sessions,Working Sessions
5:00 PM,Break,Break,Break,Break,Break
6:00 PM,Evening Activity,Pizza at The Farm,Evening Activity,Evening Activity,Evening Activity
