Start time,End time,Activity,Presenter,Location
 8:30 AM, 9:00 AM,Coffee & Social,-,Main room
 9:00 AM, 9:30 AM,Welcome & Introductions,Conference Committee,Main room
 9:30 AM, 10:00 AM,Unconference Introduction,Conference Committee,Main room
 10:00 AM, 10:20 AM,Presentation 1: Earthworks & GeoBlacklight,Huda (Nick),Main room
 10:20 AM, 10:40 AM,Presentation 2: Running GeoBlacklight on GitHub Pages,Eric,Main room
 10:40 AM, 11:00 AM,Presentation 3: Highlights of the SDOH & Place Data Discovery Application,Pengyin & Adam,Main room
 11:00 AM, 11:30 AM,Break,-,Main room
 11:30 AM, 11:45 AM,Lightning Talk 1: GIS and a newly established university OSPO,Alex,Main room
 11:45 AM, 12:00 PM,Lightning Talk 2: BTAA-GIN Geodata Collection Pilot,Karen,Main room
 12:00 PM, 12:30 PM,Unconference pitches,-,Main room
 12:30 PM, 1:30 PM,Lunch,-,Main room
 1:30 PM, 3:00 PM,Unnconference discussion: Community Futures,-,Main room
 3:00 PM, 3:30 PM,Break,-,Main room
 3:30 PM, 4:30 PM,Unnconference discussion: Technology Futures,-,Main room
 4:30 PM, 5:00 PM,Group Discussion,-,Main room
TBD,TBD,Happy Hour,-,-
