Start time,End time,Activity,Presenter,Location
 8:30 AM, 9:00 AM,Coffee & Social,-,Main room
 9:00 AM, 10:00 AM,Concurrent session: Geospatial library services panel,"(Ryan), Alex, Melinda, Stace",Breakout Room 1
 9:00 AM, 10:00 AM,"Concurrent session: Workshop - New Tools for writing code, part 1",Eric,Breakout Room 2
 10:00 AM, 11:00 AM,Concurrent session: Workshop - Allmaps,Stephen,Breakout Room 1
"""","""","Concurrent session: Workshop - New Tools for writing code, part 2",Eric,Breakout Room 2
 11:00 AM, 11:30 AM,Break,-,Main room
 11:30 AM, 11:45 AM,Lightning Talk 1: Deployment & sharing of a world-wide geospatial database of political entities,Erin,Main room
 11:45 AM, 12:00 PM,Lightning Talk 2: Introduction of East View's Global Geography Library program,Troy,Main room
 12:00 PM, 12:30 PM,Unconference pitches,-,Main room
 12:30 PM, 1:30 AM,Lunch,-,Main room
 1:30 PM, 3:00 PM,Unconference Session 1,-,Breakout Room 1
"""","""",Unconference Session 2,-,Breakout Room 2
 3:00 PM, 3:30 PM,Break,-,Main room
 3:30 PM, 4:30 PM,Unconference Session 3,-,Breakout Room 1
"""","""",Unconference Session 4,-,Breakout Room 2
 4:30 PM, 5:00 PM,Group Discussion,-,Main room
TBD,TBD,Dinner at Surly's,-,Surly Brewing
