Start time,End time,Activity,Presenter,Location
 8:30 AM, 9:00 AM,Coffee & Social,-,Main room
 9:00 AM, 10:00 AM,Keynote: Mapping Prejudice: The Process is the Product,Michael,Main room
 10:00 AM, 11:00 AM,Concurrent session: Tour of the Cavern Archives,-,Andersen Library
"""","""",Concurrent session: Cross the bridge to visit Weisman Museum,-,Weisman Art Museum
 11:00 AM, 11:30 AM,Break,-,Main room
 11:30 AM, 12:00 PM,Panel: OpenGeoMetadata,"Karen, Kim, Adam",Main room
 12:00 PM, 12:30 PM,Unconference pitches,-,Main room
 12:30 PM, 1:30 AM,Lunch,-,Main room
 1:30 PM, 3:00 PM,Unconference Session 1,-,Breakout Room 1
"""","""",Unconference Session 2,-,Breakout Room 2
 3:00 PM, 3:30 PM,Break,-,Main room
 3:30 PM, 4:30 PM,Unconference Session 3,-,Breakout Room 1
"""","""",Unconference Session 4,-,Breakout Room 2
 4:30 PM, 5:00 PM,Group Discussion,-,Main room
TBD,TBD,Happy Hour,-,Palmer's Bar
